AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,PAINT_TOUCHES
29.0,77.0,215.0,23.2,0.175,100.25,3474,7.7,3.3,1.75,4.55,2.5,24.9,1.65,0.8,1.1
26.0,84.0,235.0,5.9,0.141,108.38,293,1.6,0.2,0.46,4.4,0.1,5.4,0.45,0.6,1.2
23.0,76.0,194.0,30.4,0.279,104.25,4974,15.7,8.6,2.23,4.08,5.9,32.9,3.76,0.8,0.9
36.0,75.0,190.0,23.7,0.166,102.37,1062,7.2,6.6,1.82,4.27,2.3,20.6,3.65,0.4,0.6
25.0,80.0,240.0,17.9,0.23,96.31,2878,7.1,1.7,1.21,4.08,1.5,22.0,1.33,1.8,2.3
20.0,79.0,206.0,13.3,0.168,101.99,1359,4.0,1.3,1.02,4.26,0.4,9.0,0.79,0.4,1.6
19.0,83.0,250.0,24.5,0.134,100.68,3041,5.8,0.2,1.84,4.17,0.2,16.3,0.5,1.9,7.7
30.0,74.0,195.0,35.8,0.306,100.4,5014,19.9,13.6,2.46,3.94,10.9,26.1,5.62,0.3,0.7
28.0,75.0,190.0,32.5,0.254,97.69,4243,15.3,13.8,2.27,4.19,5.3,30.9,3.9,0.9,1.7
26.0,82.0,225.0,24.7,0.174,102.6,3476,8.2,2.0,1.89,4.34,0.5,25.7,0.5,2.5,4.1
22.0,78.0,236.0,18.1,0.12,101.01,2393,3.9,1.1,1.36,4.2,0.4,13.4,0.59,0.5,1.5
25.0,81.0,220.0,14.3,0.184,100.88,1798,5.5,1.1,1.14,4.48,0.4,11.9,0.55,0.3,1.6
28.0,79.0,230.0,32.7,0.168,102.64,4882,8.8,2.2,2.17,4.02,0.7,39.5,1.28,2.2,3.7
28.0,82.0,260.0,16.0,0.172,97.15,2262,4.7,0.4,1.12,4.2,0.0,13.0,0.33,2.0,4.8
25.0,77.0,179.0,8.9,0.244,94.43,383,3.5,2.5,0.61,4.08,1.4,8.5,4.49,0.2,0.3
27.0,77.0,219.0,13.4,0.139,104.69,582,3.6,1.3,0.98,4.33,0.1,5.9,1.53,0.2,0.6
25.0,82.0,220.0,24.9,0.209,98.27,3379,9.2,2.0,1.74,4.19,1.3,27.1,0.63,0.5,2.3
26.0,76.0,205.0,28.2,0.283,99.13,3783,14.4,14.6,2.08,4.44,6.6,31.6,4.21,1.1,0.9
34.0,75.0,188.0,21.5,0.152,104.84,2779,6.4,4.2,1.61,4.24,1.9,17.6,3.88,0.4,1.2
26.0,79.0,225.0,14.8,0.161,93.23,837,3.9,2.6,1.08,4.37,0.8,11.9,1.23,0.2,0.6
27.0,84.0,265.0,19.0,0.152,100.91,3105,5.7,0.3,1.37,4.33,0.2,12.7,0.43,2.2,5.9
27.0,78.0,225.0,15.7,0.132,96.71,2041,3.6,2.2,1.19,4.56,0.7,15.4,1.24,0.2,1.0
19.0,81.0,205.0,24.6,0.148,94.24,3719,5.4,3.4,1.82,4.44,0.8,25.3,1.31,1.0,2.4
21.0,75.0,210.0,16.6,0.265,100.41,1813,7.8,6.9,1.23,4.19,4.2,13.5,4.27,0.3,0.3
33.0,79.0,220.0,25.7,0.131,98.99,3282,6.4,2.8,1.86,4.35,1.0,24.2,1.31,1.1,2.2
30.0,84.0,235.0,27.0,0.236,102.04,3154,12.2,1.4,1.86,3.88,0.7,28.7,0.37,4.4,6.2
21.0,81.0,240.0,17.0,0.146,99.25,1443,4.5,0.6,1.31,4.3,0.1,11.0,0.35,1.0,2.6
23.0,80.0,240.0,23.3,0.158,97.47,3686,6.2,1.3,1.6,4.12,1.2,17.9,0.98,1.2,2.4
22.0,83.0,260.0,12.6,0.216,97.47,716,4.9,1.1,0.89,4.23,0.8,14.4,1.09,2.3,2.8
22.0,84.0,250.0,14.6,0.191,100.69,1531,5.0,0.3,1.09,4.19,0.2,15.7,0.44,1.9,4.1
23.0,79.0,220.0,17.0,0.183,99.92,2121,6.3,3.0,1.23,4.37,1.5,15.1,1.44,0.3,0.8
24.0,79.0,220.0,38.7,0.167,91.09,4912,10.3,4.1,2.7,4.22,2.2,39.1,1.4,1.1,3.5
33.0,75.0,215.0,29.3,0.182,102.74,3576,9.9,7.7,1.91,3.65,2.2,23.6,3.32,0.3,0.4
35.0,73.0,199.0,6.7,0.08,98.63,328,0.5,0.6,0.48,4.34,0.0,4.9,4.95,0.2,0.2
19.0,82.0,243.0,20.7,0.214,101.69,3161,7.3,3.4,1.44,3.9,0.5,26.2,1.03,2.2,4.1
30.0,72.0,184.0,31.1,0.268,100.23,3634,15.9,10.9,2.33,4.21,8.5,24.1,4.59,0.3,0.7
31.0,75.0,190.0,33.7,0.262,96.78,4964,15.4,17.7,2.47,4.41,5.4,31.8,5.45,1.3,1.7
21.0,73.0,190.0,32.3,0.216,93.02,4385,12.8,7.6,2.33,4.33,5.1,33.7,5.02,0.8,0.5
23.0,78.0,220.0,21.1,0.223,101.48,1923,8.0,4.5,1.57,4.49,2.0,20.2,2.45,0.9,1.2
25.0,76.0,190.0,10.7,0.152,103.96,965,3.7,0.9,0.9,4.71,1.2,9.9,1.32,0.2,0.3
