PLAYER_NAME,SEASON,DIST_MILES,PACE,POSS,FRONT_CT_TOUCHES,MIN,FGA_PG,USG_PCT,PAINT_TOUCHES,AVG_SPEED,AVG_DRIB_PER_TOUCH,INJURED_TYPE,INJURY
Cam Thomas,22-23,1.23,100.41,1813,13.5,16.6,7.8,0.265,0.3,4.19,4.27,No_injury,0
Cameron Johnson,22-23,2.09,99.53,1972,24.3,28.0,11.1,0.203,1.1,4.2,1.58,Sore_knee,1
Cameron Payne,22-23,1.55,100.71,1814,18.3,21.1,9.8,0.242,0.2,4.12,4.39,No_injury,0
Caris LeVert,22-23,2.2,97.53,4197,28.1,30.0,10.1,0.186,1.1,4.08,3.03,Sprained_ankle,1
Cedi Osman,22-23,1.52,97.38,2936,19.9,20.7,7.0,0.176,0.8,4.09,1.55,No_injury,0
Charles Bassey,22-23,1.1,103.25,1090,14.2,14.5,3.9,0.152,4.7,4.18,0.42,No_injury,0
Chimezie Metu,22-23,0.83,106.29,1427,9.2,10.8,3.4,0.161,2.8,4.24,0.74,No_injury,0
Chris Boucher,22-23,1.53,98.84,2821,12.5,20.1,7.0,0.175,4.1,4.25,0.58,No_injury,0
Chris Duarte,22-23,1.61,102.61,1920,19.2,19.5,7.2,0.181,0.5,4.54,1.55,Sprained_ankle,1
Chris Paul,22-23,2.03,97.99,3398,26.8,32.0,11.3,0.195,0.3,3.56,4.88,No_injury,0
Christian Braun,22-23,1.13,100.05,2020,9.8,14.5,3.3,0.12,0.9,4.36,1.21,No_injury,0
Christian Koloko,22-23,1.09,100.8,1502,9.5,14.0,2.6,0.1,3.1,4.33,0.27,No_injury,0
Christian Wood,22-23,1.84,97.1,3296,26.8,26.7,11.9,0.261,4.3,3.86,1.04,Sprained_ankle,1
Chuma Okeke,22-23,1.44,100.72,865,10.9,18.8,4.2,0.116,0.7,4.3,1.22,No_injury,0
Clint Capela,22-23,1.91,103.01,3330,17.8,26.7,8.3,0.151,10.2,4.03,0.26,No_injury,0
Coby White,22-23,1.66,101.21,3141,18.3,22.9,7.6,0.165,0.2,4.05,2.56,No_injury,0
Cole Anthony,22-23,2.02,99.88,2866,18.8,25.6,10.0,0.209,1.0,4.41,4.11,No_injury,0
Collin Sexton,22-23,1.73,102.17,2391,19.3,24.0,9.7,0.228,1.2,3.99,4.33,No_injury,0
Corey Kispert,22-23,2.15,99.77,3822,19.1,27.8,7.2,0.13,1.1,4.33,0.61,No_injury,0
Cory Joseph,22-23,1.45,99.74,2071,13.8,18.5,5.2,0.15,0.2,4.36,5.21,No_injury,0
D'Angelo Russell,22-23,2.38,101.13,4457,34.9,32.5,13.5,0.229,0.8,4.1,3.43,Sprained_ankle,1
Daishen Nix,22-23,1.2,100.95,1760,15.3,16.7,4.4,0.15,0.3,4.01,4.37,No_injury,0
Dalano Banton,22-23,0.76,101.27,532,9.6,9.3,4.1,0.22,0.7,4.56,2.89,Sprained_ankle,1
Dalen Terry,22-23,0.45,101.42,354,4.3,5.6,1.6,0.144,0.4,4.39,1.93,No_injury,0
Damian Jones,22-23,0.73,104.95,712,6.0,9.8,1.9,0.107,2.4,4.15,0.3,No_injury,0
Damian Lillard,22-23,2.57,99.78,4385,37.4,36.3,20.7,0.331,0.6,3.96,4.57,No_injury,0
Damion Lee,22-23,1.63,101.1,3052,17.3,20.7,6.2,0.154,0.5,4.37,1.59,No_injury,0
Daniel Gafford,22-23,1.5,99.79,3006,15.5,20.1,4.7,0.14,5.2,4.18,0.34,No_injury,0
Danuel House Jr.,22-23,1.11,100.65,1435,8.5,14.3,3.1,0.121,0.4,4.32,1.2,No_injury,0
Dario Saric,22-23,1.07,100.65,1568,14.0,14.1,4.9,0.189,2.0,4.24,0.87,No_injury,0
Darius Bazley,22-23,1.11,101.87,1223,10.8,14.5,4.2,0.16,1.9,4.32,1.15,Sprained_ankle,1
Darius Garland,22-23,2.6,97.03,4570,29.3,35.2,16.2,0.263,0.5,4.13,5.39,No_injury,0
David Roddy,22-23,1.3,102.81,2240,12.4,17.2,5.8,0.166,0.9,4.21,1.15,No_injury,0
Davion Mitchell,22-23,1.42,101.84,2713,12.5,18.0,4.9,0.14,0.4,4.43,4.41,No_injury,0
Davis Bertans,22-23,0.82,99.18,906,7.9,10.6,3.3,0.151,0.3,4.3,0.4,No_injury,0
Davon Reed,22-23,0.65,102.21,719,7.6,8.4,2.1,0.143,0.4,4.31,2.05,No_injury,0
Day'Ron Sharpe,22-23,0.87,102.7,951,11.3,11.4,3.6,0.18,4.0,4.26,0.65,No_injury,0
De'Aaron Fox,22-23,2.53,103.23,4797,24.7,33.8,18.2,0.288,0.7,4.17,4.69,No_injury,0
De'Andre Hunter,22-23,2.3,102.68,4304,23.8,31.9,12.2,0.193,1.2,4.05,1.39,Sprained_ankle,1
De'Anthony Melton,22-23,2.11,98.18,4028,24.3,28.2,8.6,0.162,1.2,4.21,1.91,No_injury,0
DeAndre Jordan,22-23,0.91,100.84,1042,10.8,14.3,2.8,0.135,3.7,3.6,0.23,No_injury,0
DeMar DeRozan,22-23,2.43,99.95,5014,36.9,36.5,17.8,0.274,0.6,3.8,3.71,No_injury,0
Dean Wade,22-23,1.47,97.9,1578,12.8,19.9,3.9,0.099,0.6,4.12,0.51,No_injury,0
Deandre Ayton,22-23,2.09,98.86,3820,28.5,30.4,13.6,0.234,11.3,3.85,0.48,No_injury,0
Dejounte Murray,22-23,2.68,101.64,5160,28.7,36.4,18.0,0.242,1.1,4.14,4.4,No_injury,0
Delon Wright,22-23,1.79,99.32,2214,17.8,23.8,5.5,0.122,1.2,4.17,4.49,No_injury,0
Deni Avdija,22-23,1.95,99.74,3906,20.8,26.2,7.3,0.16,1.9,4.16,2.01,Sore_lower_back,1
Dennis Schroder,22-23,2.23,101.8,3895,23.5,30.6,10.1,0.183,0.3,4.16,4.14,No_injury,0
Dennis Smith Jr.,22-23,1.95,102.18,2903,22.6,25.7,8.3,0.173,0.9,4.24,3.84,Sprained_ankle,1
Derrick Jones Jr.,22-23,1.08,101.71,1654,9.6,14.0,3.6,0.137,2.3,4.32,0.38,No_injury,0
Derrick Rose,22-23,0.97,103.78,729,10.7,12.5,5.9,0.22,0.4,4.33,3.86,No_injury,0
Derrick White,22-23,2.06,99.88,4342,20.3,28.3,9.2,0.172,1.1,4.1,3.4,No_injury,0
Desmond Bane,22-23,2.35,103.19,3414,33.7,31.2,16.0,0.253,0.9,4.2,2.13,No_injury,0
Devin Booker,22-23,2.46,99.5,3304,36.8,34.6,20.5,0.313,1.5,3.99,4.23,No_injury,0
Devin Vassell,22-23,2.49,103.48,2483,32.9,31.1,15.8,0.241,0.6,4.46,2.53,Sore_knee,1
Devin Vassell,22-23,2.49,103.48,2483,32.9,31.1,15.8,0.241,0.6,4.46,2.53,Knee_injury,1
Devonte' Graham,22-23,1.34,101.98,2606,16.4,18.0,5.9,0.166,0.2,4.16,2.84,No_injury,0
Dewayne Dedmon,22-23,0.78,102.56,787,10.1,11.0,4.0,0.2,2.8,3.97,0.45,No_injury,0
Dillon Brooks,22-23,2.19,101.55,4219,26.7,30.3,13.6,0.213,0.8,4.05,1.82,No_injury,0
Domantas Sabonis,22-23,2.64,100.65,5180,48.6,34.8,11.9,0.213,9.7,4.24,1.4,No_injury,0
Dominick Barlow,22-23,1.0,103.16,533,8.4,12.5,2.6,0.11,2.7,4.46,0.63,No_injury,0
Donovan Mitchell,22-23,2.37,96.83,4529,31.9,35.5,20.3,0.308,1.1,3.73,4.48,Sprained_ankle,1
Donte DiVincenzo,22-23,2.02,103.91,3718,23.2,26.4,7.5,0.145,1.5,4.28,2.14,No_injury,0
Dorian Finney-Smith,22-23,2.23,96.8,3673,22.3,30.9,7.5,0.127,2.1,4.06,0.67,No_injury,0
Doug McDermott,22-23,1.68,104.35,2754,20.4,20.6,8.0,0.182,0.9,4.54,0.79,Sore_knee,1
Draymond Green,22-23,2.19,104.13,4497,39.7,31.4,6.5,0.128,3.0,3.9,0.9,No_injury,0
Drew Eubanks,22-23,1.45,100.17,2896,14.4,19.5,3.7,0.111,3.9,4.16,0.46,No_injury,0
Duane Washington Jr.,22-23,0.99,102.14,837,12.2,12.7,8.3,0.298,0.1,4.32,4.68,No_injury,0
Duncan Robinson,22-23,1.23,98.66,1190,16.2,16.5,5.7,0.17,0.4,4.17,0.81,No_injury,0
Dwight Powell,22-23,1.52,97.51,2784,14.9,19.9,3.8,0.126,6.1,4.32,0.55,No_injury,0
Dyson Daniels,22-23,1.43,103.57,2024,13.9,18.5,3.6,0.112,0.8,4.32,2.47,No_injury,0
Edmond Sumner,22-23,1.13,103.41,1486,11.3,14.4,5.3,0.209,0.6,4.37,3.46,No_injury,0
Eric Gordon,22-23,1.89,101.89,3846,23.9,29.1,9.6,0.17,0.4,3.63,2.94,No_injury,0
Eugene Omoruyi,22-23,1.16,99.82,1070,12.0,15.3,5.3,0.183,2.4,4.26,0.77,No_injury,0
Evan Fournier,22-23,1.39,100.5,863,16.7,18.0,6.6,0.18,0.2,4.32,1.83,No_injury,0
Evan Mobley,22-23,2.51,96.91,5056,31.1,34.4,12.1,0.202,8.5,4.08,0.74,No_injury,0
Frank Kaminsky,22-23,0.46,102.06,452,8.2,6.4,1.7,0.147,0.8,3.95,0.68,No_injury,0
Frank Ntilikina,22-23,0.86,100.66,1070,7.3,11.8,2.5,0.124,0.2,4.05,2.52,Sore_knee,1
Franz Wagner,22-23,2.63,100.94,5058,32.6,33.0,14.1,0.228,1.9,4.46,3.03,No_injury,0
Fred VanVleet,22-23,2.77,98.35,4702,37.3,36.9,16.3,0.226,0.2,4.19,4.18,No_injury,0
Furkan Korkmaz,22-23,0.7,102.38,597,9.1,9.1,2.8,0.178,0.3,4.26,2.16,Knee_injury,1
Gabe Vincent,22-23,1.95,98.38,3224,20.3,26.2,8.4,0.169,0.4,4.17,3.21,No_injury,0
Garrett Temple,22-23,0.52,106.97,332,5.4,6.8,1.9,0.126,0.2,4.27,1.21,No_injury,0
Garrison Mathews,22-23,0.96,102.34,1398,9.0,12.8,3.6,0.135,0.1,4.2,0.42,No_injury,0
Gary Harris,22-23,1.87,100.36,2248,16.6,25.1,6.5,0.127,0.6,4.21,1.47,No_injury,0
Gary Trent Jr.,22-23,2.31,99.93,4292,30.5,32.6,14.4,0.208,0.6,3.96,1.88,No_injury,0
George Hill,22-23,1.35,101.75,1644,12.6,18.4,3.7,0.11,0.5,4.09,3.85,No_injury,0
Georges Niang,22-23,1.45,100.47,2847,15.5,19.3,6.5,0.163,0.4,4.19,0.45,No_injury,0
Giannis Antetokounmpo,22-23,2.27,103.6,4044,36.8,32.2,20.3,0.373,5.3,3.95,2.94,No_injury,0
Goga Bitadze,22-23,0.79,101.58,665,10.1,10.5,2.7,0.135,3.0,4.18,0.55,No_injury,0
Goran Dragic,22-23,1.19,103.03,1694,13.5,15.4,5.9,0.196,0.2,4.28,3.65,Sore_knee,1
Gordon Hayward,22-23,2.42,103.08,3320,35.1,31.5,11.6,0.195,1.8,4.3,1.93,No_injury,0
Gorgui Dieng,22-23,0.72,101.99,570,13.5,10.4,3.2,0.17,1.3,3.86,0.66,No_injury,0
Grant Williams,22-23,1.88,99.67,3911,16.7,26.6,6.2,0.128,1.7,3.96,0.76,No_injury,0
Grayson Allen,22-23,2.15,102.63,3966,23.7,27.6,7.9,0.145,1.0,4.38,1.42,No_injury,0
Hamidou Diallo,22-23,1.37,103.05,2137,13.7,17.8,6.7,0.21,2.0,4.33,1.67,No_injury,0
Harrison Barnes,22-23,2.52,101.76,5060,30.0,32.7,9.7,0.168,1.8,4.3,1.11,No_injury,0
Haywood Highsmith,22-23,1.42,97.63,1793,11.7,18.0,4.0,0.119,1.9,4.42,0.9,No_injury,0
Herbert Jones,22-23,2.19,99.36,3420,22.9,29.0,7.6,0.147,2.1,4.24,1.07,No_injury,0
Immanuel Quickley,22-23,2.16,97.96,4310,24.3,28.5,10.9,0.193,0.4,4.22,3.82,No_injury,0
Isaac Okoro,22-23,1.61,98.32,3341,12.9,21.9,4.7,0.117,1.1,4.11,1.0,No_injury,0
Isaiah Hartenstein,22-23,1.56,100.1,3065,13.7,19.6,4.0,0.107,5.0,4.44,0.26,No_injury,0
Isaiah Jackson,22-23,1.2,103.95,1906,13.8,15.7,4.8,0.164,5.2,4.29,0.4,Sprained_ankle,1
Isaiah Joe,22-23,1.43,103.37,2623,14.5,18.3,6.5,0.164,0.3,4.36,1.32,No_injury,0
Isaiah Livers,22-23,1.73,99.53,2196,16.0,22.6,5.4,0.117,0.5,4.3,0.89,Sprained_ankle,1
Isaiah Roby,22-23,0.9,104.03,1025,10.3,11.3,3.7,0.173,0.9,4.45,0.99,Sprained_ankle,1
Isaiah Stewart,22-23,2.05,101.24,2988,22.2,28.3,8.8,0.17,4.7,4.07,0.71,No_injury,0
Ish Smith,22-23,0.67,101.27,689,7.9,8.8,2.8,0.183,0.2,4.23,4.87,No_injury,0
Ish Wainright,22-23,1.19,101.71,1712,10.2,15.3,3.8,0.117,0.7,4.28,0.69,Sore_lower_back,1
Ivica Zubac,22-23,2.06,97.9,4013,20.4,29.0,6.7,0.146,8.9,4.01,0.45,No_injury,0
JT Thor,22-23,0.97,102.47,1617,8.1,12.2,2.9,0.123,0.8,4.43,0.56,No_injury,0
Ja Morant,22-23,2.33,102.22,3757,26.5,32.1,20.3,0.341,1.5,4.05,5.13,Sore_ankle,1
JaMychal Green,22-23,1.07,105.16,1705,14.3,14.2,4.5,0.171,3.0,4.2,0.34,No_injury,0
JaVale McGee,22-23,0.58,102.93,634,6.2,8.0,2.9,0.219,3.1,4.1,0.47,Sprained_ankle,1
Jabari Smith Jr.,22-23,2.23,100.35,4566,23.4,30.7,11.1,0.183,2.5,4.08,1.01,No_injury,0
Jabari Walker,22-23,0.67,102.28,906,6.0,9.0,2.6,0.15,1.4,4.09,0.73,No_injury,0
Jaden Hardy,22-23,1.09,100.77,1212,12.1,14.4,6.8,0.252,0.2,4.23,3.62,No_injury,0
Jaden Ivey,22-23,2.31,100.83,4233,22.2,30.6,12.7,0.244,1.5,4.24,4.62,No_injury,0
Jaden McDaniels,22-23,2.45,101.23,4612,23.5,30.9,9.1,0.156,2.5,4.46,1.19,No_injury,0
Jae'Sean Tate,22-23,1.62,101.14,1432,21.6,21.9,7.4,0.178,2.3,4.1,2.58,No_injury,0
Jake LaRavia,22-23,0.93,102.24,828,8.2,11.9,2.8,0.12,0.5,4.36,0.87,No_injury,0
Jakob Poeltl,22-23,2.08,100.82,3596,31.1,26.8,8.7,0.182,8.4,4.36,0.51,Sore_knee,1
Jalen Brunson,22-23,2.61,97.59,4639,29.2,34.9,17.4,0.264,0.3,4.18,5.65,No_injury,0
Jalen Duren,22-23,1.84,100.68,3041,16.3,24.5,5.8,0.134,7.7,4.17,0.5,No_injury,0
Jalen Green,22-23,2.58,100.42,4861,34.3,34.1,17.9,0.276,0.9,4.23,3.87,No_injury,0
Jalen Johnson,22-23,1.12,102.94,1975,8.5,14.5,4.3,0.147,1.2,4.32,0.94,No_injury,0
Jalen McDaniels,22-23,1.92,102.62,3683,19.5,24.3,7.8,0.166,1.8,4.42,1.21,No_injury,0
Jalen Smith,22-23,1.42,103.59,2491,17.3,18.3,7.2,0.202,3.9,4.4,0.47,No_injury,0
Jalen Suggs,22-23,1.78,101.61,2259,18.5,23.7,8.3,0.194,1.5,4.17,3.03,No_injury,0
Jalen Williams,22-23,2.41,103.46,4400,22.0,30.0,10.3,0.177,2.3,4.5,2.87,No_injury,0
Jamal Murray,22-23,2.46,99.01,4026,34.2,33.0,16.2,0.257,1.3,4.17,4.18,No_injury,0
James Bouknight,22-23,1.0,102.88,760,11.1,13.2,4.5,0.174,0.2,4.3,2.12,No_injury,0
James Harden,22-23,2.34,96.78,3953,34.3,36.9,14.6,0.248,0.7,3.55,4.72,No_injury,0
James Wiseman,22-23,1.39,101.96,1443,14.5,18.4,7.2,0.209,5.6,4.26,0.35,Sprained_ankle,1
Jaren Jackson Jr.,22-23,2.11,103.38,3382,23.8,28.1,12.8,0.238,4.0,4.18,0.99,No_injury,0
Jarred Vanderbilt,22-23,1.91,101.13,3586,18.1,24.4,5.9,0.139,5.3,4.37,1.25,No_injury,0
Jarrett Allen,22-23,2.31,96.62,4250,25.5,33.0,9.3,0.162,11.2,3.92,0.33,No_injury,0
Javonte Green,22-23,1.21,102.38,986,11.3,15.5,3.5,0.129,1.7,4.35,0.44,Sore_knee,1
Jaxson Hayes,22-23,0.98,102.1,1282,10.5,13.4,3.4,0.148,2.5,4.1,0.59,No_injury,0
Jaylen Brown,22-23,2.58,100.28,4669,35.1,36.1,20.4,0.305,2.4,4.02,2.77,No_injury,0
Jaylen Nowell,22-23,1.5,105.09,2702,18.6,19.3,9.6,0.237,0.7,4.32,2.94,Knee_injury,1
Jaylin Williams,22-23,1.29,101.84,1610,19.5,18.1,4.9,0.139,2.4,4.05,0.38,No_injury,0
Jayson Tatum,22-23,2.51,99.73,5347,39.7,37.3,21.3,0.321,3.0,3.77,2.85,No_injury,0
Jeff Dowtin Jr.,22-23,0.73,98.28,397,8.0,9.7,2.6,0.123,0.5,4.21,3.49,No_injury,0
Jeff Green,22-23,1.32,99.59,1943,17.1,19.2,5.9,0.169,1.8,3.84,0.82,No_injury,0
Jerami Grant,22-23,2.57,99.08,4643,32.9,35.6,14.5,0.227,1.9,4.03,1.44,Sprained_ankle,1
Jeremiah Robinson-Earl,22-23,1.54,103.77,1577,15.9,19.2,5.8,0.144,3.1,4.53,0.4,Sprained_ankle,1
Jeremy Sochan,22-23,2.06,102.37,3101,21.9,26.0,9.9,0.195,3.4,4.45,2.24,Sore_knee,1
Jericho Sims,22-23,1.19,97.45,1571,7.8,15.8,2.1,0.075,3.6,4.25,0.32,No_injury,0
Jevon Carter,22-23,1.72,102.99,3460,15.0,22.2,6.9,0.15,0.5,4.35,3.72,No_injury,0
Jimmy Butler,22-23,2.38,97.33,3989,37.1,33.4,14.0,0.25,5.9,4.0,3.21,Sprained_ankle,1
Jock Landale,22-23,1.07,101.94,1914,15.3,14.2,4.8,0.181,5.0,4.18,0.48,No_injury,0
Joe Harris,22-23,1.63,100.38,2970,16.2,21.5,6.1,0.139,0.5,4.28,0.76,Sore_knee,1
Joe Ingles,22-23,1.68,104.36,1961,20.3,23.0,5.6,0.124,0.2,4.07,1.77,Knee_injury,1
Joel Embiid,22-23,2.2,97.83,4257,51.9,34.7,20.3,0.37,5.1,3.57,1.17,No_injury,0
John Collins,22-23,2.17,102.65,4120,21.5,30.1,10.0,0.166,3.2,4.06,0.51,No_injury,0
John Konchar,22-23,1.69,102.59,2909,14.6,21.0,4.5,0.101,1.0,4.49,0.82,No_injury,0
John Wall,22-23,1.48,102.65,1614,18.2,22.2,10.0,0.259,0.2,3.7,4.98,Knee_injury,1
Johnny Davis,22-23,0.62,99.88,336,6.4,8.1,2.7,0.159,0.4,4.23,1.52,No_injury,0
